,0
280,Excellent service and driving
281,"Driver was there on time (actually a few minutes early). Helped us with our cases and my wheelchair. We got a mini van to make sure the chair and all our luggage fitted in ok. It was spacious, clean and comfortable. The driver got us to the airport in good time and helped us unload all of our bags etc again. We booked this last minute as we weren't happy with the pick up time the holiday company were getting us at. We booked only 24 hours in advance, got our confirmation email almost immediately and that was us sorted! Fab service and I'd definitely use again"
282,"Excellent service couldn’t find a fault, taxi waiting for us on a 4am departure day, would highly recommend. We will definitely use again."
283,Driver was very friendly even though he had to wait a while for us
284,"Outstanding service, great drivers, and very clean cars."
285,"We will not hesitate to use ATT in the future, and will definitely be recommending this company to our friends."
286,"After reaching Paris CDG airport, we need to whatsapp the company to get the driver to pick you up. No issue with driver, a very polite driver . On return transfer, I managed to contact the company one day before. The driver arrived at our house 15 min ahead of schedule. The ride was quite pleasant and smooth."
287,It would have been good to have air conditioning on our bus
288,The driver Ricardo was excellent and made us feel very comfortable with his company and kept us up to date with the route all the way!!! If possible I would give him 6 stars 🌟
289,As usual: a perfect and reliable service!
290,"An excellent service - spot on timing, helped with the luggage and a courteous and very efficient service throughout both parts of our journey."
291,"Excellent service, I left my bag on back seat communication was excellent with yourselves and was returned by the driver promptly with a smile, cannot fault service, thank you very much"
292,Easy booking service and reliable drivers. Great start and finish to a journey
293,Rafael was on time and great
294,Extremely convenient when Paris is going through strikes. Our chauffeur was waiting with the name card at exit and was very friendly n professional.
295,Reliable and good vehicle
296,"Inbound flight delayed by an hour, driver waiting for us on arrival, quick, efficient transfer to hotel."
297,"efficient, professional and secure."
298,Booking and communication was perfect - taxi was not there when I arrived but I had no luggage to collect - best to tell them if you have no luggage - contacted them and they arrived in 15 mins - will use again
